Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,26,2006,10,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super Mario Bros.,11,1985,4,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario Kart Wii,26,2008,6,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii Sports Resort,26,2009,10,Nintendo,15.75,11.01,3.28,2.96,33.0
5,Pokemon Red/Pokemon Blue,5,1996,7,Nintendo,11.27,8.89,10.22,1.0,31.37
6,Tetris,5,1989,5,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New Super Mario Bros.,4,2006,4,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,26,2006,3,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New Super Mario Bros. Wii,26,2009,4,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck Hunt,11,1984,8,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,4,2005,9,Nintendo,9.07,11.0,1.93,2.75,24.76
12,Mario Kart DS,4,2005,6,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon Gold/Pokemon Silver,5,1999,7,Nintendo,9.0,6.18,7.2,0.71,23.1
14,Wii Fit,26,2007,10,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii Fit Plus,26,2009,10,Nintendo,9.09,8.59,2.53,1.79,22.0
16,Kinect Adventures!,28,2010,3,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
17,Grand Theft Auto V,17,2013,0,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand Theft Auto: San Andreas,16,2004,0,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
19,Super Mario World,23,1990,4,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain Age: Train Your Brain in Minutes a Day,4,2005,3,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon Diamond/Pokemon Pearl,4,2006,7,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super Mario Land,5,1989,4,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super Mario Bros. 3,11,1988,4,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand Theft Auto V,28,2013,0,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand Theft Auto: Vice City,16,2002,0,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon Ruby/Pokemon Sapphire,6,2002,7,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon Black/Pokemon White,4,2010,7,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain Age 2: More Training in Minutes a Day,4,2005,5,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran Turismo 3: A-Spec,16,2001,6,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call of Duty: Modern Warfare 3,28,2011,8,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon Yellow: Special Pikachu Edition,5,1998,7,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call of Duty: Black Ops,28,2010,8,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon X/Pokemon Y,2,2013,7,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call of Duty: Black Ops 3,18,2015,8,Activision,5.77,5.81,0.35,2.31,14.24
35,Call of Duty: Black Ops II,17,2012,8,Activision,4.99,5.88,0.65,2.52,14.03
36,Call of Duty: Black Ops II,28,2012,8,Activision,8.25,4.3,0.07,1.12,13.73
37,Call of Duty: Modern Warfare 2,28,2009,8,Activision,8.52,3.63,0.08,1.29,13.51
38,Call of Duty: Modern Warfare 3,17,2011,8,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand Theft Auto III,16,2001,0,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
40,Super Smash Bros. Brawl,26,2008,2,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call of Duty: Black Ops,17,2010,8,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal Crossing: Wild World,4,2005,9,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario Kart 7,2,2011,6,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo 3,28,2007,8,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14
45,Grand Theft Auto V,18,2014,0,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,4,2009,0,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super Mario 64,10,1996,4,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,16,2004,6,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,26,2007,4,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2,2014,7,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,5,1992,1,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,28,2008,0,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,15,1997,6,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,2,2011,4,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,17,2010,6,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,17,2009,8,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,17,2008,0,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,23,1993,4,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,6,2004,7,Nintendo,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,4,2004,4,Nintendo,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,26,2011,3,Ubisoft,6.05,3.15,0.0,1.07,10.26
62,Call of Duty: Ghosts,28,2013,8,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,28,2010,8,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,10,1996,6,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,2,2012,4,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo 4,28,2012,8,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,15,1997,7,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,17,2013,8,Activision,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,26,2010,3,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,15,1999,6,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,28,2007,8,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,23,1994,4,Nintendo,4.36,1.71,3.0,0.23,9.3
73,Minecraft,28,2013,3,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,2,2012,9,Nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,4,2007,3,Nintendo,4.46,1.88,1.98,0.7,9.02
